t_ms h_imr h_echo
17.200000 0.017651 0.000000
17.300000 -0.018008 0.000000
17.400000 -0.048098 0.000000
17.500000 -0.060653 0.000000
17.600000 -0.050061 0.000000
17.700000 -0.019508 0.000000
17.800000 0.019902 0.000000
17.900000 0.053156 0.000000
18.000000 0.067032 0.000000
18.100000 0.055326 0.000000
18.200000 0.021559 0.000000
18.300000 -0.021995 0.000000
18.400000 -0.058747 0.000000
18.500000 -0.074082 0.000000
18.600000 -0.061144 0.000000
18.700000 -0.023827 0.000000
18.800000 0.024308 0.000000
18.900000 0.064925 0.000000
19.000000 0.081873 0.000000
19.100000 0.067575 0.000000
19.200000 0.026333 0.000000
19.300000 -0.026865 0.000000
19.400000 -0.071753 0.000000
19.500000 -0.090484 0.000000
19.600000 -0.074682 0.000000
19.700000 -0.029102 0.000000
19.800000 0.029690 0.000000
19.900000 0.079300 0.000000
20.000000 0.500000 0.000000
20.100000 0.146973 0.000000
20.200000 -0.366014 0.000000
20.300000 -0.348164 0.000000
20.400000 0.126501 0.000000
20.500000 0.389400 0.000000
20.600000 0.114463 0.000000
20.700000 -0.285052 0.000000
20.800000 -0.271150 0.000000
20.900000 0.098519 0.000000
21.000000 0.303265 0.000000
21.100000 0.089144 0.000000
21.200000 -0.221999 0.000000
21.300000 -0.211172 0.000000
21.400000 0.076727 0.000000
21.500000 0.236183 0.000000
21.600000 0.069425 0.000000
21.700000 -0.172893 0.000000
21.800000 -0.164461 0.000000
21.900000 0.059755 0.000000
22.000000 0.183940 0.000000
22.100000 0.054068 0.000000
22.200000 -0.134649 0.000000
22.300000 -0.128082 0.000000
22.400000 0.046537 0.000000
22.500000 0.143252 0.000000
22.600000 0.042108 0.000000
22.700000 -0.104865 0.000000
22.800000 -0.099751 0.000000
22.900000 0.036243 0.000000
23.000000 0.111565 0.000000
23.100000 0.032794 0.000000
23.200000 -0.081669 0.000000
23.300000 -0.077686 0.000000
23.400000 0.028226 0.000000
23.500000 0.086887 0.000000
23.600000 0.025540 0.000000
23.700000 -0.063604 0.000000
23.800000 -0.060502 0.000000
23.900000 0.021983 0.000000
24.000000 0.067668 0.000000
24.100000 0.019891 0.000000
24.200000 -0.049535 0.000000
24.300000 -0.047119 0.000000
24.400000 0.017120 0.000000
24.500000 0.052700 0.000000
24.600000 0.015491 0.000000
24.700000 -0.038578 0.000000
24.800000 -0.036696 0.000000
24.900000 0.013333 0.000000
25.000000 0.041042 0.000000
25.100000 0.012064 0.000000
25.200000 -0.030044 0.000000
25.300000 -0.028579 0.000000
25.400000 0.010384 0.000000
25.500000 0.031964 0.000000
25.600000 0.009396 0.000000
25.700000 -0.023399 0.000000
25.800000 -0.022257 0.000000
25.900000 0.008087 0.000000
26.000000 0.024894 0.000000
26.100000 0.007317 0.000000
26.200000 -0.018223 0.000000
26.300000 -0.017334 0.000000
26.400000 0.006298 0.000000
26.500000 0.019387 0.000000
26.600000 0.005699 0.000000
26.700000 -0.014192 0.000000
26.800000 -0.013500 0.000000
26.900000 0.004905 0.000000
27.000000 0.015099 0.000000
27.100000 0.004438 0.000000
27.200000 -0.011053 0.000000
27.300000 -0.010514 0.000000
27.400000 0.003820 0.000000
27.500000 0.011759 0.000000
27.600000 0.003456 0.000000
27.700000 -0.008608 0.000000
27.800000 -0.008188 0.000000
27.900000 0.002975 0.000000
28.000000 0.009158 0.000000
28.100000 0.002692 0.000000
28.200000 -0.006704 0.000000
28.300000 -0.006377 0.000000
28.400000 0.002317 0.000000
28.500000 0.007132 0.000000
28.600000 0.002096 0.000000
28.700000 -0.005221 0.000000
28.800000 -0.004966 0.000000
28.900000 0.001804 0.000000
29.000000 0.005554 0.000000
29.100000 0.001633 0.000000
29.200000 -0.004066 0.000000
29.300000 -0.003868 0.000000
29.400000 0.001405 0.000000
